loading /Users/mac/Programming/code-2026/Middle-Eigen-function/models/models/google--electra-small-discriminator/snapshots/master ...
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 34356.90it/s]
[transformers] [1mElectraModel LOAD REPORT[0m from: /Users/mac/Programming/code-2026/Middle-Eigen-function/models/models/google--electra-small-discriminator/snapshots/master
Key                                               | Status     |  | 
--------------------------------------------------+------------+--+-
discriminator_predictions.dense.weight            | UNEXPECTED |  | 
discriminator_predictions.dense.bias              | UNEXPECTED |  | 
discriminator_predictions.dense_prediction.bias   | UNEXPECTED |  | 
discriminator_predictions.dense_prediction.weight | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
decomposed 72 matrices, 12 target matrices (substr='output.dense')
matrix                                                        top10E%  mid80E%  bot10E%
encoder.layer.0.attention.self.query.weight                     39.61    60.38     0.00
encoder.layer.0.attention.self.key.weight                       40.53    59.47     0.00
encoder.layer.0.attention.self.value.weight                     46.69    53.30     0.01
encoder.layer.0.attention.output.dense.weight                   41.55    58.42     0.03
encoder.layer.0.intermediate.dense.weight                       38.17    61.24     0.59
encoder.layer.0.output.dense.weight                             30.91    67.57     1.51
encoder.layer.1.attention.self.query.weight                     46.92    53.05     0.03
encoder.layer.1.attention.self.key.weight                       48.05    51.93     0.02
encoder.layer.1.attention.self.value.weight                     42.24    57.72     0.04
encoder.layer.1.attention.output.dense.weight                   39.43    60.53     0.03
encoder.layer.1.intermediate.dense.weight                       33.79    64.02     2.19
encoder.layer.1.output.dense.weight                             30.58    67.50     1.92
encoder.layer.2.attention.self.query.weight                     34.16    65.77     0.07
encoder.layer.2.attention.self.key.weight                       33.93    66.01     0.06
encoder.layer.2.attention.self.value.weight                     42.09    57.88     0.03
encoder.layer.2.attention.output.dense.weight                   42.97    57.01     0.02
encoder.layer.2.intermediate.dense.weight                       33.39    64.60     2.00
encoder.layer.2.output.dense.weight                             33.14    65.35     1.52
encoder.layer.3.attention.self.query.weight                     37.13    62.84     0.03
encoder.layer.3.attention.self.key.weight                       36.48    63.48     0.04
encoder.layer.3.attention.self.value.weight                     39.84    60.13     0.03
encoder.layer.3.attention.output.dense.weight                   36.81    63.16     0.03
encoder.layer.3.intermediate.dense.weight                       30.82    67.19     1.98
encoder.layer.3.output.dense.weight                             33.72    64.87     1.41
encoder.layer.4.attention.self.query.weight                     37.97    62.02     0.01
encoder.layer.4.attention.self.key.weight                       43.53    56.47     0.00
encoder.layer.4.attention.self.value.weight                     42.06    57.91     0.03
encoder.layer.4.attention.output.dense.weight                   35.76    64.21     0.02
encoder.layer.4.intermediate.dense.weight                       31.87    66.39     1.74
encoder.layer.4.output.dense.weight                             31.57    66.69     1.74
encoder.layer.5.attention.self.query.weight                     40.32    59.67     0.00
encoder.layer.5.attention.self.key.weight                       42.59    57.41     0.00
encoder.layer.5.attention.self.value.weight                     43.17    56.81     0.02
encoder.layer.5.attention.output.dense.weight                   37.99    62.00     0.02
encoder.layer.5.intermediate.dense.weight                       29.61    69.08     1.31
encoder.layer.5.output.dense.weight                             27.73    70.69     1.58
encoder.layer.6.attention.self.query.weight                     34.55    65.43     0.02
encoder.layer.6.attention.self.key.weight                       33.94    66.04     0.02
encoder.layer.6.attention.self.value.weight                     34.93    65.03     0.05
encoder.layer.6.attention.output.dense.weight                   37.00    62.97     0.03
encoder.layer.6.intermediate.dense.weight                       27.04    71.77     1.18
encoder.layer.6.output.dense.weight                             30.00    68.64     1.36
encoder.layer.7.attention.self.query.weight                     32.08    67.89     0.03
encoder.layer.7.attention.self.key.weight                       33.63    66.34     0.03
encoder.layer.7.attention.self.value.weight                     34.85    65.10     0.05
encoder.layer.7.attention.output.dense.weight                   34.70    65.26     0.04
encoder.layer.7.intermediate.dense.weight                       27.09    71.75     1.16
encoder.layer.7.output.dense.weight                             31.38    67.28     1.34
encoder.layer.8.attention.self.query.weight                     40.92    59.06     0.02
encoder.layer.8.attention.self.key.weight                       41.28    58.70     0.02
encoder.layer.8.attention.self.value.weight                     36.09    63.88     0.03
encoder.layer.8.attention.output.dense.weight                   38.56    61.42     0.02
encoder.layer.8.intermediate.dense.weight                       26.55    71.60     1.85
encoder.layer.8.output.dense.weight                             31.56    67.07     1.37
encoder.layer.9.attention.self.query.weight                     33.99    66.01     0.01
encoder.layer.9.attention.self.key.weight                       33.11    66.89     0.01
encoder.layer.9.attention.self.value.weight                     36.33    63.65     0.02
encoder.layer.9.attention.output.dense.weight                   32.95    67.02     0.03
encoder.layer.9.intermediate.dense.weight                       28.42    69.69     1.89
encoder.layer.9.output.dense.weight                             34.90    63.89     1.22
encoder.layer.10.attention.self.query.weight                    36.65    63.35     0.00
encoder.layer.10.attention.self.key.weight                      44.21    55.79     0.00
encoder.layer.10.attention.self.value.weight                    35.89    64.10     0.02
encoder.layer.10.attention.output.dense.weight                  35.91    64.08     0.01
encoder.layer.10.intermediate.dense.weight                      28.27    70.33     1.39
encoder.layer.10.output.dense.weight                            36.28    62.79     0.93
encoder.layer.11.attention.self.query.weight                    32.82    67.17     0.01
encoder.layer.11.attention.self.key.weight                      39.24    60.75     0.01
encoder.layer.11.attention.self.value.weight                    37.02    62.96     0.02
encoder.layer.11.attention.output.dense.weight                  38.61    61.36     0.02
encoder.layer.11.intermediate.dense.weight                      27.27    71.55     1.19
encoder.layer.11.output.dense.weight                            35.82    63.96     0.22
saved: outputs/stage2_electra
